Date,Close/Last,Open,High,Low
04/30/2024,15657.82,15920.89,15979.36,15655.67
04/29/2024,15983.08,16007.00,16021.49,15885.89
04/26/2024,15927.90,15821.34,15981.00,15770.72
04/25/2024,15611.76,15375.26,15644.51,15343.91
04/24/2024,15712.75,15805.60,15839.00,15634.44
04/23/2024,15696.64,15525.55,15730.35,15510.58
04/22/2024,15451.31,15396.13,15539.00,15265.66
04/19/2024,15282.01,15547.10,15576.70,15222.78
04/18/2024,15601.50,15705.69,15786.12,15587.50
04/17/2024,15683.37,15942.29,15957.03,15654.51
04/16/2024,15865.25,15856.38,15965.79,15822.02
04/15/2024,15885.02,16276.47,16295.27,15863.88
04/12/2024,16175.09,16293.03,16341.45,16125.33
04/11/2024,16442.20,16236.20,16464.60,16154.65
04/10/2024,16170.36,16104.01,16200.10,16092.02
04/09/2024,16306.64,16328.76,16348.18,16141.15
04/08/2024,16253.96,16285.18,16323.60,16220.72
04/05/2024,16248.52,16095.40,16326.50,16080.48
04/04/2024,16049.08,16418.57,16468.04,16046.56
04/03/2024,16277.46,16178.80,16340.74,16169.31
04/02/2024,16240.45,16199.24,16251.41,16137.24
04/01/2024,16396.83,16397.05,16490.65,16327.89
03/28/2024,16379.46,16377.23,16420.92,16347.38
03/27/2024,16399.52,16424.76,16431.82,16279.17
03/26/2024,16315.70,16446.85,16476.38,16312.95
03/25/2024,16384.47,16335.30,16441.17,16315.72
03/22/2024,16428.82,16387.83,16467.62,16361.00
03/21/2024,16401.84,16517.24,16538.86,16393.90
03/20/2024,16369.41,16185.76,16377.44,16127.48
03/19/2024,16166.79,16031.93,16175.59,15951.86
03/18/2024,16103.45,16154.92,16247.59,16094.17
03/15/2024,15973.17,16043.58,16055.33,15925.91
03/14/2024,16128.53,16209.19,16245.32,16039.68
03/13/2024,16177.77,16220.11,16233.30,16143.34
03/12/2024,16265.64,16116.98,16275.45,15992.98
03/11/2024,16019.27,16052.63,16085.95,15978.04
03/08/2024,16085.11,16322.10,16449.70,16059.50
03/07/2024,16273.38,16147.32,16309.02,16096.01
03/06/2024,16031.54,16092.00,16128.56,15956.66
03/05/2024,15939.59,16077.74,16087.56,15862.63
03/04/2024,16207.51,16264.21,16289.06,16199.06
03/01/2024,16274.94,16109.83,16302.24,16096.60
02/29/2024,16091.92,16059.34,16115.96,15931.70
02/28/2024,15947.74,15969.14,16003.56,15924.72
02/27/2024,16035.30,16013.98,16046.10,15940.51
02/26/2024,15976.25,16014.45,16054.90,15973.90
02/23/2024,15996.82,16094.80,16134.22,15954.50
02/22/2024,16041.62,15904.48,16061.82,15869.24
02/21/2024,15580.87,15532.12,15583.68,15451.65
02/20/2024,15630.78,15679.84,15730.47,15508.50
02/16/2024,15775.65,15910.43,15917.41,15752.02
02/15/2024,15906.17,15865.30,15911.22,15779.72
02/14/2024,15859.15,15781.71,15865.51,15683.94
02/13/2024,15655.60,15598.88,15770.42,15551.44
02/12/2024,15942.55,15980.62,16080.07,15917.87
02/09/2024,15990.66,15842.38,16007.29,15831.76
02/08/2024,15793.71,15762.23,15813.27,15739.18
02/07/2024,15756.64,15690.35,15770.68,15645.81
02/06/2024,15609.00,15638.19,15652.75,15515.25
02/05/2024,15597.68,15613.99,15637.88,15471.68
02/02/2024,15628.95,15403.16,15664.21,15366.78
02/01/2024,15361.64,15254.02,15372.13,15208.88
01/31/2024,15164.01,15324.19,15405.55,15158.49
01/30/2024,15509.90,15628.04,15619.23,15484.67
01/29/2024,15628.04,15470.66,15630.58,15449.87
01/26/2024,15455.36,15474.85,15538.84,15433.04
01/25/2024,15510.50,15555.62,15597.25,15430.68
01/24/2024,15481.92,15560.61,15629.07,15468.91
01/23/2024,15425.94,15391.41,15432.35,15337.23
01/22/2024,15360.29,15393.05,15438.85,15333.63
01/19/2024,15310.97,15122.38,15310.97,15087.20
01/18/2024,15055.65,14994.52,15066.81,14911.11
01/17/2024,14855.62,14814.77,14865.76,14706.23
01/16/2024,14944.35,14908.26,15004.35,14863.81
01/12/2024,14972.76,15001.01,15047.25,14931.88
01/11/2024,14970.18,15020.95,15063.61,14800.38
01/10/2024,14969.65,14877.70,14998.20,14842.70
01/09/2024,14857.71,14744.13,14894.32,14716.71
01/08/2024,14843.77,14564.47,14846.90,14560.20
01/05/2024,14524.07,14500.11,14625.19,14477.57
01/04/2024,14510.30,14532.23,14632.77,14504.78
01/03/2024,14592.21,14641.47,14694.58,14577.44
01/02/2024,14765.94,14873.70,14887.80,14682.38
12/29/2023,15011.35,15099.20,15111.41,14955.37
12/28/2023,15095.14,15142.09,15150.07,15087.22
12/27/2023,15099.18,15089.66,15114.08,15051.67
12/26/2023,15074.57,15028.69,15101.18,15024.06
12/22/2023,14992.97,15006.18,15047.19,14927.12
12/21/2023,14963.87,14923.14,14970.81,14837.47
12/20/2023,14777.94,14973.36,15069.29,14776.29
12/19/2023,15003.22,14923.02,15003.80,14921.60
12/18/2023,14905.19,14814.02,14938.04,14811.82
12/15/2023,14813.92,14797.46,14848.40,14753.15
12/14/2023,14761.56,14798.72,14855.62,14642.23
12/13/2023,14733.96,14555.68,14743.55,14517.52
12/12/2023,14533.40,14423.01,14533.40,14385.39
12/11/2023,14432.49,14340.13,14436.08,14324.57
12/08/2023,14403.97,14279.46,14416.92,14264.96
12/07/2023,14339.99,14230.43,14353.11,14220.87
12/06/2023,14146.71,14325.62,14327.63,14138.51
12/05/2023,14229.91,14126.40,14285.66,14121.76
12/04/2023,14185.49,14168.66,14197.52,14058.52
12/01/2023,14305.03,14181.35,14311.95,14135.00
11/30/2023,14226.22,14265.05,14289.20,14127.05
11/29/2023,14258.49,14367.11,14423.22,14247.89
11/28/2023,14281.76,14224.63,14303.65,14195.72
11/27/2023,14241.02,14239.31,14305.71,14205.24
11/24/2023,14250.85,14238.03,14270.28,14214.13
11/22/2023,14265.86,14283.82,14359.61,14226.63
11/21/2023,14199.98,14217.23,14237.50,14146.31
11/20/2023,14284.53,14134.75,14309.80,14134.20
11/17/2023,14125.48,14101.44,14154.32,14063.93
11/16/2023,14113.67,14066.88,14130.45,14033.79
11/15/2023,14103.84,14147.27,14194.36,14060.70
11/14/2023,14094.38,14015.37,14124.06,14003.14
11/13/2023,13767.74,13745.96,13805.11,13687.78
11/10/2023,13798.11,13571.19,13802.53,13556.35
11/09/2023,13521.45,13693.70,13697.82,13506.02
11/08/2023,13650.41,13660.22,13684.87,13573.58
11/07/2023,13639.86,13555.79,13675.46,13516.56
11/06/2023,13518.78,13514.08,13551.62,13435.99
11/03/2023,13478.28,13362.85,13520.28,13344.73
11/02/2023,13294.19,13230.49,13302.18,13177.64
11/01/2023,13061.47,12887.06,13072.42,12875.20
10/31/2023,12851.24,12786.62,12859.40,12697.04
10/30/2023,12789.48,12750.47,12842.96,12691.56
10/27/2023,12643.01,12718.69,12772.43,12600.57
10/26/2023,12595.61,12768.97,12818.14,12543.86
10/25/2023,12821.22,13039.86,13042.52,12804.30
10/24/2023,13139.87,13084.99,13170.39,13022.85
10/23/2023,13018.33,12930.85,13143.22,12848.83
10/20/2023,12983.81,13157.77,13177.35,12977.43
10/19/2023,13186.18,13354.80,13404.73,13157.33
10/18/2023,13314.30,13439.68,13499.74,13275.30
10/17/2023,13533.75,13419.87,13602.25,13364.74
10/16/2023,13567.98,13453.81,13598.05,13447.17
10/13/2023,13407.23,13613.59,13619.54,13361.85
10/12/2023,13574.22,13672.47,13714.14,13491.56
10/11/2023,13659.68,13619.21,13671.11,13549.29
10/10/2023,13562.84,13505.81,13659.63,13491.81
10/09/2023,13484.24,13326.22,13509.30,13277.48
10/06/2023,13431.34,13127.68,13472.27,13099.03
10/05/2023,13219.83,13228.12,13251.18,13087.57
10/04/2023,13236.01,13092.92,13258.76,13072.51
10/03/2023,13059.47,13229.68,13280.04,13008.60
10/02/2023,13307.77,13217.98,13364.03,13204.08
09/29/2023,13219.32,13337.71,13382.98,13177.09
09/28/2023,13201.28,13043.37,13270.97,13025.11
09/27/2023,13092.85,13115.36,13156.37,12963.16
09/26/2023,13063.61,13180.96,13199.13,13033.40
09/25/2023,13271.32,13172.54,13277.83,13132.00
09/22/2023,13211.81,13287.17,13353.22,13200.64
09/21/2023,13223.98,13328.06,13362.23,13222.56
09/20/2023,13469.13,13710.26,13727.81,13467.28
09/19/2023,13678.19,13649.44,13705.15,13578.87
09/18/2023,13710.24,13669.96,13751.28,13663.46
09/15/2023,13708.33,13889.20,13895.75,13684.24
09/14/2023,13926.05,13889.76,13957.57,13810.66
09/13/2023,13813.59,13822.32,13868.57,13733.82
09/12/2023,13773.61,13858.94,13913.60,13763.69
09/11/2023,13917.89,13884.03,13937.47,13805.13
09/08/2023,13761.53,13754.71,13843.37,13733.18
09/07/2023,13748.83,13675.11,13774.63,13642.47
09/06/2023,13872.47,13988.81,14001.95,13802.42
09/05/2023,14020.95,13994.54,14060.85,13945.65
09/01/2023,14031.81,14129.96,14149.62,13982.42
08/31/2023,14034.97,14041.54,14114.67,14010.48
08/30/2023,14019.31,13961.77,14050.82,13924.20
08/29/2023,13943.76,13687.23,13959.81,13677.06
08/28/2023,13705.13,13695.36,13735.98,13626.64
08/25/2023,13590.65,13514.37,13633.42,13376.35
08/24/2023,13463.97,13834.31,13834.69,13462.84
08/23/2023,13721.03,13532.43,13757.00,13532.43
08/22/2023,13505.87,13593.95,13598.77,13484.38
08/21/2023,13497.59,13347.26,13516.86,13325.59
08/18/2023,13290.78,13190.02,13335.87,13161.76
08/17/2023,13316.93,13527.30,13535.09,13303.45
08/16/2023,13474.63,13593.17,13644.32,13473.03
08/15/2023,13631.05,13760.48,13774.98,13611.93
08/14/2023,13788.33,13599.00,13789.16,13582.49
08/11/2023,13644.85,13653.46,13720.33,13609.98
08/10/2023,13737.99,13818.25,13947.16,13686.51
08/09/2023,13722.02,13897.61,13898.54,13698.39
08/08/2023,13884.32,13875.45,13899.74,13769.34
08/07/2023,13994.40,13972.45,13997.15,13864.92
08/04/2023,13909.24,14105.16,14119.22,13897.93
08/03/2023,13959.72,13899.76,14032.28,13881.35
08/02/2023,13973.45,14132.73,14133.85,13914.81
08/01/2023,14283.91,14274.93,14309.21,14215.64
07/31/2023,14346.02,14337.90,14370.91,14292.75
07/28/2023,14316.66,14199.83,14344.35,14188.10
07/27/2023,14050.11,14319.16,14360.20,14006.92
07/26/2023,14127.28,14123.52,14187.35,14041.95
